Years,Industries,Fixed assets ,Intangible fixed assets ,Tangible fixed assets ,Financial fixed assets ,"Investments in subsidiaries, other group companies or associated companies ","Loans to group companies, associated companies and joint ventures ",Current assets ,Inventories ,Debitors ,Accounts receivables ,Investments ,Cash and bank deposits etc ,Total assets ,Equity ,Invested equity ,Share capital ,Share premium reserve ,Retained earnings ,Liabilities ,Provisions ,Other long-term liabilities ,Liabilities to financial institutions ,Long-term liabilities to group companies ,Short-term liabilities ,Trade creditors ,Short-term liabilities to group companies ,Total equity and liabilities ,Number of enterprises
2015,"Agriculture, forestry and fishing",135641,26438,40467,68736,52150,13019,70759,21459,30690,14509,3532,15078,206400,90671,44107,11054,23073,46563,115729,8451,63825,45118,8698,43453,9625,13479,206400,3631
2015,Mining and quarrying,1945686,78442,858053,1009191,810283,170454,506772,29181,288620,70886,91420,97551,2452457,851415,428867,122265,265920,422549,1601042,381599,734330,62257,367237,485113,43840,237648,2452457,1190
2015,Manufacturing,950756,30288,123003,797465,637611,135754,488090,85750,301378,122436,19239,81723,1438845,676592,421533,105205,252902,255060,762253,27930,271087,64857,151456,463235,68326,194119,1438845,11895
2015,"Electricity, gas and steam",620401,28080,205902,386420,283895,64518,101752,1309,67474,14436,8650,24318,722153,328547,250894,93781,141468,77653,393606,20728,240806,76083,77300,132072,7832,67312,722153,1428
2015,"Water supply, sewerage, waste",27825,878,13266,13681,9440,3532,9841,597,5692,2912,154,3398,37666,11794,7443,2468,4062,4350,25872,1048,17313,11361,4622,7511,1961,2064,37666,698
2015,Construction,296782,6102,113170,177510,120985,34041,295362,74408,145139,85870,12749,63066,592144,222880,120008,33869,67907,102871,369264,10121,160837,90330,41746,198306,42289,36194,592144,35515
2015,Wholesale and retail trade0 repair of motor vehicles and motorcycles,430865,22332,64507,344027,279697,45685,452279,129706,211605,102060,37679,73289,883145,406387,213792,58629,125709,192595,476758,12176,135382,49412,62893,329200,114887,69951,883145,39752
2015,Transportation and storage,868998,52427,382574,433997,320460,77963,217479,4220,122748,40257,24304,66206,1086476,437749,277750,85987,157979,159998,648728,27618,438809,225577,89894,182301,28205,51406,1086476,9060
2015,Accommodation and food service activities,51197,1343,15635,34219,28385,3764,25777,1369,15937,2994,826,7645,76974,29009,18808,8424,6249,10201,47965,1838,22971,10997,7327,23156,4454,6767,76974,8067
2015,Information and communication,583751,48909,55620,479222,434680,32742,165702,4595,120436,34674,5736,34935,749453,425015,326395,38479,252054,98619,324438,10226,139668,29523,36350,174544,20053,87458,749453,11667
2015,Real estate activities,1751118,11910,741363,997845,709887,174389,377480,19376,156753,14355,89147,112203,2128597,1069643,639081,135713,396498,430562,1058954,29158,775767,464434,196976,254029,13436,114516,2128597,59988
2015,"Professional, scientific and technical activities",265891,12718,31174,221998,163889,36008,180962,9461,102143,43324,20023,49334,446852,224389,171283,39085,109802,53105,222463,3310,93199,24085,41454,125955,17116,35007,446852,30525
2015,Administrative and support service activities,241969,5462,57947,178560,114245,44795,84148,1600,53232,19869,5387,23928,326117,135615,109560,19821,78509,26054,190503,4788,109978,39995,36106,75736,10077,25751,326117,10859
2015,Education,6379,328,2719,3332,1900,838,4921,79,2005,784,486,2352,11300,4632,2145,774,1174,2486,6668,88,2788,1433,759,3793,511,843,11300,3087
2015,Human health and social work activities,41390,1872,19796,19722,13633,2998,28337,700,12495,2959,3018,12123,69726,27818,9351,2536,4679,18468,41908,972,23060,13804,5944,17877,1795,4320,69726,7961
2015,"Arts, entertainment and recreation",20760,1354,11052,8354,5471,1645,12216,352,3787,995,739,7339,32977,12158,11086,3951,6610,1072,20819,316,8405,4040,2147,12098,1112,1560,32977,3676
2015,Other service activities,11254,418,3629,7207,4710,465,5881,662,1840,852,779,2599,17134,8432,6596,1822,4116,1837,8702,171,3970,2464,607,4562,669,660,17134,3811
2015,Unspecified,26038,328,4263,21448,16092,2292,7548,69,2461,132,1254,3764,33586,16879,13692,1238,11662,3187,16707,60,11363,4850,3776,5284,93,2192,33586,2940
2016,"Agriculture, forestry and fishing",146174,29115,44847,72213,54006,13773,94984,24276,43029,13833,4394,23285,241158,104457,46627,11790,27980,57831,136701,9436,71749,43076,9263,55516,8218,20890,241158,3996
2016,Mining and quarrying,1902501,89001,814920,998579,726637,234891,450776,34333,268890,77207,73483,74070,2353277,797191,473128,126123,302572,324063,1556086,376025,713514,47918,374885,466548,47611,200769,2353277,1191
2016,Manufacturing,949807,27582,136725,785499,634109,126523,440321,81778,272912,114410,12148,73483,1390128,707409,438667,104901,266987,268742,682719,29224,205443,57791,96407,448052,72916,201693,1390128,12250
2016,"Electricity, gas and steam",615117,26941,215207,372969,276441,61811,110727,1815,74742,19131,6715,27456,725844,336983,255101,93622,146952,81882,388861,21398,236233,68632,82017,131230,9240,52410,725844,1434
2016,"Water supply, sewerage, waste",28403,1042,13598,13763,9570,3394,10406,677,6119,3325,218,3391,38809,12965,8083,2670,4246,4883,25844,1204,16764,10792,4158,7876,2144,2124,38809,749
2016,Construction,341279,6105,121333,213840,153205,36593,324595,84258,161477,97916,12248,66612,665874,256999,147090,35311,91678,109909,408876,10245,178100,96748,50106,220532,48187,40918,665874,38509
2016,Wholesale and retail trade0 repair of motor vehicles and motorcycles,453763,23333,67272,363158,303756,40185,478757,138194,234109,109950,33477,72977,932521,438977,220287,57339,129825,218690,493544,12015,124799,40696,60587,356730,123709,79953,932521,41527
2016,Transportation and storage,829260,56646,375277,397337,284926,80041,216191,4789,109673,36749,33444,68286,1045451,412962,285387,87311,166439,127575,632489,26268,418688,235315,82177,187533,27894,58059,1045451,9321
2016,Accommodation and food service activities,57514,2304,17011,38199,29685,6248,26789,1450,15976,3198,1113,8250,84303,30836,20296,8954,6785,10540,53467,2101,27031,13654,8198,24335,4914,7027,84303,8757
2016,Information and communication,542873,47111,61059,434703,389725,32505,212174,5057,148612,35773,6003,52501,755047,367127,281708,38785,175741,85419,387920,9346,124569,26072,34233,254005,21542,100614,755047,12879
2016,Real estate activities,1854666,11502,791086,1052078,746979,184425,413568,21036,173247,15573,100762,118523,2268233,1146798,677656,135876,440856,469142,1121436,31697,827070,491590,205678,262668,12749,125595,2268233,63382
2016,"Professional, scientific and technical activities",273637,14542,30019,229075,166564,39801,184025,8231,96494,42521,25750,53551,457662,233299,186153,40219,124162,47145,224363,3015,91445,20315,44893,129904,18676,47182,457662,33127
2016,Administrative and support service activities,264010,5647,73179,185185,118016,45968,90258,1747,60083,20726,5557,22871,354269,138244,113064,19893,77212,25181,216025,5426,129788,42075,42895,80811,10922,27478,354269,11726
