years,Industries,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Financial items, net ",Net profit ,Fixed assets,Current assets,Cash and bank deposits etc,Total assets,Equity,Liabilities,Short-term liabilities,Number of enterprises
2015,"Agriculture, forestry and fishing",72425,61647,27407,11837,4740,13751,3727,13684,135641,70759,15078,206400,90671,115729,43453,3631
2015,Mining and quarrying,830094,809713,395309,76796,190741,93218,-121877,-85604,1945686,506772,97551,2452457,851415,1601042,485113,1190
2015,Manufacturing,749082,716171,388551,139256,20292,32869,46974,65651,950756,488090,81723,1438845,676592,762253,463235,11895
2015,"Electricity, gas and steam",92276,79244,37725,11435,9726,19288,6978,17352,620401,101752,24318,722153,328547,393606,132072,1428
2015,"Water supply, sewerage, waste",23315,22615,8228,4999,1444,1385,-1162,-152,27825,9841,3398,37666,11794,25872,7511,698
2015,Construction,423803,419148,157054,106723,7952,27332,15488,35626,296782,295362,63066,592144,222880,369264,198306,35515
2015,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1349859,1314180,1009526,143102,14789,39400,19748,45802,430865,452279,73289,883145,406387,476758,329200,39752
2015,Transportation and storage,333200,372659,89520,82757,35517,29727,-15709,2892,868998,217479,66206,1086476,437749,648728,182301,9060
2015,Accommodation and food service activities,66182,68064,16317,26291,2150,1412,973,1834,51197,25777,7645,76974,29009,47965,23156,8067
2015,Information and communication,217134,213279,64096,69933,12964,17432,-2797,10290,583751,165702,34935,749453,425015,324438,174544,11667
2015,Real estate activities,35769,88752,13071,15196,19113,52755,61420,102735,1751118,377480,112203,2128597,1069643,1058954,254029,59988
2015,"Professional, scientific and technical activities",196744,199891,44722,81712,10346,17546,10081,21289,265891,180962,49334,446852,224389,222463,125955,30525
2015,Administrative and support service activities,149446,154063,47830,52621,10134,9321,-2272,4441,241969,84148,23928,326117,135615,190503,75736,10859
2015,Education,9569,11040,908,5327,513,420,264,479,6379,4921,2352,11300,4632,6668,3793,3087
2015,Human health and social work activities,38461,53315,4368,30564,1788,5334,2622,6538,41390,28337,12123,69726,27818,41908,17877,7961
2015,"Arts, entertainment and recreation",44802,41737,3306,5224,1299,5289,514,5490,20760,12216,7339,32977,12158,20819,12098,3676
2015,Other service activities,13374,13361,2432,6390,604,1098,503,1317,11254,5881,2599,17134,8432,8702,4562,3811
2015,Unspecified,1064,1077,290,130,213,564,678,1076,26038,7548,3764,33586,16879,16707,5284,2940
2016,"Agriculture, forestry and fishing",91104,67612,30401,13384,5322,29104,10904,31620,146174,94984,23285,241158,104457,136701,55516,3996
2016,Mining and quarrying,706130,688151,336674,70098,146519,77157,-24462,4907,1902501,450776,74070,2353277,797191,1556086,466548,1191
2016,Manufacturing,715756,685653,394059,133430,20034,34579,52599,73770,949807,440321,73483,1390128,707409,682719,448052,12250
2016,"Electricity, gas and steam",109146,88923,47681,11539,9626,28817,10344,25237,615117,110727,27456,725844,336983,388861,131230,1434
2016,"Water supply, sewerage, waste",23576,23589,8624,5191,1665,878,149,832,28403,10406,3391,38809,12965,25844,7876,749
2016,Construction,461654,456874,173978,113103,8036,30351,15074,37491,341279,324595,66612,665874,256999,408876,220532,38509
2016,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1434691,1391792,1079684,148005,13300,53331,30914,66967,453763,478757,72977,932521,438977,493544,356730,41527
2016,Transportation and storage,307761,355639,76494,80434,49260,13816,-13750,-13122,829260,216191,68286,1045451,412962,632489,187533,9321
2016,Accommodation and food service activities,70128,72651,17643,27450,2469,1474,2205,3018,57514,26789,8250,84303,30836,53467,24335,8757
2016,Information and communication,222278,216951,64144,70512,13835,22561,29600,45005,542873,212174,52501,755047,367127,387920,254005,12879
2016,Real estate activities,38034,96969,12926,15672,23069,56317,64630,108513,1854666,413568,118523,2268233,1146798,1121436,262668,63382
2016,"Professional, scientific and technical activities",188054,189996,40234,80100,7728,7790,6953,9634,273637,184025,53551,457662,233299,224363,129904,33127
2016,Administrative and support service activities,149512,157169,47200,52918,11868,7523,965,5474,264010,90258,22871,354269,138244,216025,80811,11726
2016,Education,9969,11185,908,5490,474,492,210,505,6298,5094,2545,11392,4520,6872,3888,3473
2016,Human health and social work activities,42217,56935,4348,32472,1930,5755,2550,6740,48316,31514,13526,79830,30048,49782,20365,8590
2016,"Arts, entertainment and recreation",48605,44902,3574,5620,1325,6020,70,5771,19761,13197,8218,32958,10688,22270,12706,4180
2016,Other service activities,14076,14225,2616,6742,666,946,722,1382,11638,7834,2738,19472,10271,9201,5058,4205
2016,Unspecified,847,1132,247,124,250,118,1866,2361,27782,11692,4345,39474,26229,13245,5195,3945
2017,"Agriculture, forestry and fishing",98666,75563,33493,14710,5960,28343,14613,35057,163147,101031,24641,264178,123741,140437,55859,4349
2017,Mining and quarrying,968451,804142,500833,60516,111556,223540,-5378,71038,2072204,484967,81424,2557171,990005,1567166,522809,1222
2017,Manufacturing,740700,707436,406186,133710,22261,34995,66828,87085,947320,489188,80861,1436507,715826,720682,454504,12436
2017,"Electricity, gas and steam",117331,96213,52529,11776,10834,28754,45024,60558,648057,145532,36899,793589,369823,423765,148640,1461
2017,"Water supply, sewerage, waste",28234,27698,12017,5458,1680,1351,345,1356,29113,11510,3468,40623,14582,26042,8809,779
2017,Construction,492192,488877,184826,121691,8019,29281,19268,40771,347859,365341,70953,713200,263856,449345,248223,40627
2017,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1473830,1427156,1106829,151468,14223,47404,29692,64527,470231,500170,77110,970401,469324,501077,369480,42076
2017,Transportation and storage,321437,364239,85830,80855,36730,21401,2480,14711,852737,230563,69696,1083300,448172,635129,191854,9568
