years,Industries,Operating income ,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Income from subsidiaries, other group entities and from associates ",Interest income ,Interest expence ,Write-down of financial assets ,"Financial items, net ",Profit before tax ,Tax ,Net profit ,Number of enterprises
2015,"Agriculture, forestry and fishing",75398,72425,61647,27407,11837,4740,13751,1236,1443,3087,380,3727,17479,3809,13684,3631
2015,Mining and quarrying,902930,830094,809713,395309,76796,190741,93218,-62680,8758,26308,20623,-121877,-28659,56871,-85604,1190
2015,Manufacturing,749040,749082,716171,388551,139256,20292,32869,53258,8345,16197,22845,46974,79844,14101,65651,11895
2015,"Electricity, gas and steam",98532,92276,79244,37725,11435,9726,19288,14444,3368,8827,1753,6978,26266,9544,17352,1428
2015,"Water supply, sewerage, waste",23999,23315,22615,8228,4999,1444,1385,187,394,1013,1538,-1162,222,384,-152,698
2015,Construction,446480,423803,419148,157054,106723,7952,27332,7087,2822,7471,2403,15488,42819,7456,35626,35515
2015,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1353580,1349859,1314180,1009526,143102,14789,39400,13040,4707,9717,7361,19748,59148,13275,45802,39752
2015,Transportation and storage,402386,333200,372659,89520,82757,35517,29727,8485,6252,17315,18606,-15709,14017,8924,2892,9060
2015,Accommodation and food service activities,69476,66182,68064,16317,26291,2150,1412,937,542,1190,253,973,2385,545,1834,8067
2015,Information and communication,230711,217134,213279,64096,69933,12964,17432,3194,9535,6802,27323,-2797,14636,5340,10290,11667
2015,Real estate activities,141507,35769,88752,13071,15196,19113,52755,20614,10788,31466,8418,61420,114175,11496,102735,59988
2015,"Professional, scientific and technical activities",217437,196744,199891,44722,81712,10346,17546,2833,2631,4938,9090,10081,27627,5111,21289,30525
2015,Administrative and support service activities,163383,149446,154063,47830,52621,10134,9321,2662,3705,6206,5696,-2272,7049,2631,4441,10859
2015,Education,11460,9569,11040,908,5327,513,420,161,74,142,81,264,684,207,479,3087
2015,Human health and social work activities,58650,38461,53315,4368,30564,1788,5334,580,298,861,100,2622,7957,1402,6538,7961
2015,"Arts, entertainment and recreation",47026,44802,41737,3306,5224,1299,5289,251,139,356,103,514,5803,313,5490,3676
2015,Other service activities,14459,13374,13361,2432,6390,604,1098,140,93,230,94,503,1600,284,1317,3811
2015,Unspecified,1640,1064,1077,290,130,213,564,374,154,269,490,678,1242,167,1076,2940
2016,"Agriculture, forestry and fishing",96716,91104,67612,30401,13384,5322,29104,2920,1013,2606,552,10904,40008,8462,31620,3996
2016,Mining and quarrying,765309,706130,688151,336674,70098,146519,77157,-30964,11719,28430,17685,-24462,52695,47783,4907,1191
2016,Manufacturing,720232,715756,685653,394059,133430,20034,34579,40544,7604,13663,17124,52599,87178,14582,73770,12250
2016,"Electricity, gas and steam",117739,109146,88923,47681,11539,9626,28817,12269,3339,8284,8259,10344,39161,13702,25237,1434
2016,"Water supply, sewerage, waste",24467,23576,23589,8624,5191,1665,878,44,332,935,41,149,1027,226,832,749
2016,Construction,487225,461654,456874,173978,113103,8036,30351,6363,2623,7539,1322,15074,45425,8082,37491,38509
2016,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1445123,1434691,1391792,1079684,148005,13300,53331,12742,3967,8333,2501,30914,84245,13617,66967,41527
2016,Transportation and storage,369455,307761,355639,76494,80434,49260,13816,15709,5678,17583,38057,-13750,66,10520,-13122,9321
2016,Accommodation and food service activities,74124,70128,72651,17643,27450,2469,1474,555,443,1177,694,2205,3678,657,3018,8757
2016,Information and communication,239512,222278,216951,64144,70512,13835,22561,4676,11511,7353,17631,29600,52161,6817,45005,12879
2016,Real estate activities,153286,38034,96969,12926,15672,23069,56317,23189,10064,33112,6784,64630,120947,12440,108513,63382
2016,"Professional, scientific and technical activities",197786,188054,189996,40234,80100,7728,7790,3172,2935,4647,10847,6953,14743,4082,9634,33127
2016,Administrative and support service activities,164692,149512,157169,47200,52918,11868,7523,1728,3789,6660,5104,965,8488,2979,5474,11726
2016,Education,11677,9969,11185,908,5490,474,492,142,59,139,111,210,702,199,505,3473
2016,Human health and social work activities,62690,42217,56935,4348,32472,1930,5755,659,263,999,264,2550,8304,1561,6740,8590
2016,"Arts, entertainment and recreation",50922,48605,44902,3574,5620,1325,6020,257,98,336,148,70,6090,320,5771,4180
2016,Other service activities,15171,14076,14225,2616,6742,666,946,144,75,188,36,722,1668,286,1382,4205
2016,Unspecified,1250,847,1132,247,124,250,118,471,179,439,393,1866,1983,-379,2361,3945
2017,"Agriculture, forestry and fishing",103906,98666,75563,33493,14710,5960,28343,3911,1031,2677,154,14613,42957,7937,35057,4349
2017,Mining and quarrying,1027681,968451,804142,500833,60516,111556,223540,-1376,17603,30996,7727,-5378,218161,147123,71038,1222
2017,Manufacturing,742431,740700,707436,406186,133710,22261,34995,64457,6743,11771,29078,66828,101823,14683,87085,12436
2017,"Electricity, gas and steam",124967,117331,96213,52529,11776,10834,28754,37956,3573,8239,291,45024,73778,13651,60558,1461
2017,"Water supply, sewerage, waste",29049,28234,27698,12017,5458,1680,1351,111,216,705,40,345,1696,352,1356,779
2017,Construction,518158,492192,488877,184826,121691,8019,29281,8454,2627,7574,2098,19268,48549,7786,40771,40627
2017,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1474560,1473830,1427156,1106829,151468,14223,47404,15696,3210,7506,4801,29692,77096,12548,64527,42076
2017,Transportation and storage,385640,321437,364239,85830,80855,36730,21401,9254,5126,17252,13894,2480,23881,8209,14711,9568
2017,Accommodation and food service activities,77868,74082,76454,18371,28640,2653,1413,1091,1160,1310,64,2246,3659,654,3045,9151
2017,Information and communication,244565,231299,224837,68020,72994,14823,19727,60193,2728,5994,3587,113180,132908,8102,124380,13960
2017,Real estate activities,164865,46117,106257,16884,16569,22656,58608,28250,10461,32382,6017,95653,154260,13692,140778,66432
2017,"Professional, scientific and technical activities",201679,192041,195849,41330,81015,8743,5829,3346,2574,4218,9402,9116,14946,4371,10404,34970
2017,Administrative and support service activities,169974,154628,160872,48085,57017,11711,9102,9545,2656,6280,3264,6979,16080,2489,13537,12282
2017,Education,12730,10509,12123,1005,5952,518,607,97,47,143,70,179,786,202,586,3768
2017,Human health and social work activities,64437,43192,59169,4518,34098,2038,5269,1177,342,1151,498,2155,7424,1360,6064,9064
2017,"Arts, entertainment and recreation",55534,53033,49109,3879,6055,1377,6425,373,133,337,77,591,7016,381,6636,4536
2017,Other service activities,16243,14614,14819,2697,7185,660,1424,197,88,209,29,739,2163,292,1872,4516
2017,Unspecified,1646,1152,1412,312,304,72,233,564,246,190,301,3237,3471,185,3289,4408
2018,"Agriculture, forestry and fishing",125157,120320,97479,49339,16381,6820,27678,4121,1275,3130,701,15283,42961,7598,35385,4765
2018,Mining and quarrying,1239248,1166045,930205,612817,67932,107127,309043,23742,13785,25104,9524,24592,333635,212791,120735,1282
2018,Manufacturing,763927,760949,732775,421613,138289,20252,31152,34248,7077,12401,7354,67892,99043,12938,85939,13079
2018,"Electricity, gas and steam",157873,149695,115848,68482,12154,9891,42025,29595,3760,8696,-516,37188,79213,21821,57361,1526
2018,"Water supply, sewerage, waste",31324,30560,30226,13902,5531,1804,1098,408,204,565,37,972,2070,295,1782,815
2018,Construction,566875,538158,537690,197295,132210,9645,29185,9270,3324,8814,4289,19484,48669,7601,41045,43599
2018,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1544845,1543129,1501429,1166103,158260,15042,43416,14721,3704,7919,6264,30160,73576,11296,62311,43502
2018,Transportation and storage,406500,352911,392446,95814,78246,33672,14054,22515,5350,19066,27567,20164,34218,6063,26653,9796
2018,Accommodation and food service activities,82828,79019,81732,19342,30639,2889,1096,1584,489,1355,1632,2491,3587,593,2979,9785
2018,Information and communication,250942,237524,229801,65946,75944,15643,21140,107861,2757,6881,6866,110656,131796,8015,120872,14786
