"08120: Profit/loss statement for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
2007,Operating income (NOK million),43009,3861335,795989,646250,86862,15519,293637,1062593,270337,47293,170483,5695,100254,138372,112470,6265,32311,22125,9547,2325
,Revenue (NOK million),40250,3609996,742184,645020,80730,15190,277042,1062365,220561,43905,161995,1774,31244,129846,101906,5111,21881,19285,9077,629
,Operating expences (NOK million),37483,3343215,521164,606072,63491,14571,270539,1021125,247307,45088,155636,3535,62083,126063,105103,5908,29718,18319,8900,1110
,Raw materials and consumables used (NOK million),17539,1805844,292226,348781,36398,6406,106176,793852,57129,11195,45171,741,13360,31929,36272,517,3797,2133,2128,95
,Payroll expence (NOK million),7660,587358,40646,114389,7147,2982,66342,107056,54914,16727,47515,453,9812,47570,37253,2731,16459,3602,3928,174
,Depreciation and write down of tangible and intangible fixed assets (NOK million),2267,153289,62159,20315,6480,824,4271,10198,15022,1410,10373,311,8853,3389,4773,216,1117,876,375,60
,Operating profit (NOK million),5526,518119,274825,40178,23371,947,23098,41468,23030,2205,14847,2160,38171,12309,7366,357,2593,3806,647,1215
,"Income from subsidiaries, other group entities and from associates (NOK million)",602,152420,26283,41653,21636,62,2015,7739,7691,2113,6625,9294,20458,3915,1582,42,140,34,54,482
,Interest income (NOK million),1115,95725,14968,21259,7921,132,2707,5752,7390,997,10456,3382,12247,3167,3007,48,223,287,74,594
,Interest expence (NOK million),2774,143557,18767,27557,12304,370,4643,9612,12567,1301,11136,4144,27371,3927,5728,74,426,387,119,352
