"08121: Balance sheet for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
2015,Fixed assets (NOK million),135641,8276699,1945686,950756,620401,27825,296782,430865,868998,51197,583751,..,1751118,265891,241969,6379,41390,20760,11254,26038
,Intangible fixed assets (NOK million),26438,329626,78442,30288,28080,878,6102,22332,52427,1343,48909,..,11910,12718,5462,328,1872,1354,418,328
,Tangible fixed assets (NOK million),40467,2744138,858053,123003,205902,13266,113170,64507,382574,15635,55620,..,741363,31174,57947,2719,19796,11052,3629,4263
,Financial fixed assets (NOK million),68736,5202934,1009191,797465,386420,13681,177510,344027,433997,34219,479222,..,997845,221998,178560,3332,19722,8354,7207,21448
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",52150,4007413,810283,637611,283895,9440,120985,279697,320460,28385,434680,..,709887,163889,114245,1900,13633,5471,4710,16092
,"Loans to group companies, associated companies and joint ventures (NOK million)",13019,844900,170454,135754,64518,3532,34041,45685,77963,3764,32742,..,174389,36008,44795,838,2998,1645,465,2292
,Current assets (NOK million),70759,3035304,506772,488090,101752,9841,295362,452279,217479,25777,165702,..,377480,180962,84148,4921,28337,12216,5881,7548
,Inventories (NOK million),21459,384894,29181,85750,1309,597,74408,129706,4220,1369,4595,..,19376,9461,1600,79,700,352,662,69
,Debitors (NOK million),30690,1644435,288620,301378,67474,5692,145139,211605,122748,15937,120436,..,156753,102143,53232,2005,12495,3787,1840,2461
,Accounts receivables (NOK million),14509,574304,70886,122436,14436,2912,85870,102060,40257,2994,34674,..,14355,43324,19869,784,2959,995,852,132
,Investments (NOK million),3532,325123,91420,19239,8650,154,12749,37679,24304,826,5736,..,89147,20023,5387,486,3018,739,779,1254
,Cash and bank deposits etc (NOK million),15078,680852,97551,81723,24318,3398,63066,73289,66206,7645,34935,..,112203,49334,23928,2352,12123,7339,2599,3764
,Total assets (NOK million),206400,11312002,2452457,1438845,722153,37666,592144,883145,1086476,76974,749453,..,2128597,446852,326117,11300,69726,32977,17134,33586
,Equity (NOK million),90671,4979624,851415,676592,328547,11794,222880,406387,437749,29009,425015,..,1069643,224389,135615,4632,27818,12158,8432,16879
,Invested equity (NOK million),44107,3072393,428867,421533,250894,7443,120008,213792,277750,18808,326395,..,639081,171283,109560,2145,9351,11086,6596,13692
,Share capital (NOK million),11054,765100,122265,105205,93781,2468,33869,58629,85987,8424,38479,..,135713,39085,19821,774,2536,3951,1822,1238
,Share premium reserve (NOK million),23073,1910373,265920,252902,141468,4062,67907,125709,157979,6249,252054,..,396498,109802,78509,1174,4679,6610,4116,11662
,Retained earnings (NOK million),46563,1907230,422549,255060,77653,4350,102871,192595,159998,10201,98619,..,430562,53105,26054,2486,18468,1072,1837,3187
,Liabilities (NOK million),115729,6332379,1601042,762253,393606,25872,369264,476758,648728,47965,324438,..,1058954,222463,190503,6668,41908,20819,8702,16707
,Provisions (NOK million),8451,540597,381599,27930,20728,1048,10121,12176,27618,1838,10226,..,29158,3310,4788,88,972,316,171,60
,Other long-term liabilities (NOK million),63825,3253556,734330,271087,240806,17313,160837,135382,438809,22971,139668,..,775767,93199,109978,2788,23060,8405,3970,11363
